"county","coefficient","coef","se","Uppm"
"AITKIN","floor",-1.02384448603306,1.62296957307985,0.502054
"AITKIN","intercept",3.8552084582513,1.67537813306337,0.502054
"ANOKA","floor",-0.871152834298802,1.13901893567159,0.428565
"ANOKA","intercept",3.20616191570611,0.565747669362375,0.428565
"BECKER","floor",-2.05223142955458,1.81691316836846,0.892741
"BECKER","intercept",5.36899302714428,2.03388702006868,0.892741
"BELTRAMI","floor",-2.26534801803915,1.60162920630206,0.552472
"BELTRAMI","intercept",5.59191059929472,1.64314747695548,0.552472
"BENTON","floor",-1.70154606135741,1.62296957307985,0.866849
"BENTON","intercept",4.91844785204322,1.67537813306337,0.866849
"BIGSTONE","floor",-1.98191989903387,1.6329514290957,1.47264
"BIGSTONE","intercept",5.38220723410231,1.69038666286325,1.47264
"BLUEEARTH","floor",-2.32472924258015,1.33019937473685,1.31208
"BLUEEARTH","intercept",7.21824663666995,1.0533548724633,1.31208
"BROWN","floor",-3.03501689878313,1.69858494949966,1.31993
"BROWN","intercept",6.83204627262237,1.82060480859399,1.31993
"CARLTON","floor",-0.511895001995452,1.40176381383343,0.717261
"CARLTON","intercept",3.4973834541089,1.18179424228571,0.717261
"CARVER","floor",-2.54634509222935,1.20240383494748,1.10061
"CARVER","intercept",7.9165217794502,1.03682074667995,1.10061
"CASS","floor",-1.705987536215,1.53183942646667,0.544319
"CASS","intercept",4.96566948189314,1.45883497047854,0.544319
"CHIPPEWA","floor",-2.78783547762646,1.57579481852634,1.3148
"CHIPPEWA","intercept",6.59878893603797,1.56188200058787,1.3148
"CHISAGO","floor",-1.31875746629579,1.49694673673465,0.479352
"CHISAGO","intercept",4.38112064077795,1.37381648183176,0.479352
"CLAY","floor",-5.27093568321134,1.32780011707252,1.41027
"CLAY","intercept",9.7969178808813,1.12503419228676,1.41027
"CLEARWATER","floor",-1.64665349043511,1.69858494949966,0.941896
"CLEARWATER","intercept",4.79883189547592,1.82060480859399,0.941896
"COOK","floor",-1.25363409374261,1.71048638988083,0.603508
"COOK","intercept",4.28281269696714,1.85691793471893,0.603508
"COTTONWOOD","floor",-2.40667728373677,1.81497130841154,1.40433
"COTTONWOOD","intercept",6.27751334870883,2.01456853249729,1.40433
"CROWWING","floor",-0.769303851669442,1.36457262085809,0.530789
"CROWWING","intercept",3.72290539649263,1.17359106650216,0.530789
"DAKOTA","floor",-2.08360820067098,1.0978055273679,0.976144
"DAKOTA","intercept",4.93439795487341,0.517922917338454,0.976144
"DODGE","floor",-2.37913447267031,1.6329514290957,1.30194
"DODGE","intercept",5.9818283294932,1.69038666286325,1.30194
"DOUGLAS","floor",-2.22178806622739,1.42320049266523,1.16849
"DOUGLAS","intercept",5.764423346898,1.23461609986352,1.16849
"FARIBAULT","floor",-1.19034352401851,1.51613738787953,1.34316
"FARIBAULT","intercept",3.9949079741483,1.44915501791856,1.34316
"FILLMORE","floor",-1.85725979106778,1.81925093532006,1.51424
"FILLMORE","intercept",5.09916918101597,2.05693045165983,1.51424
"FREEBORN","floor",-4.89188995760846,1.43152277035699,1.25133
"FREEBORN","intercept",9.57480003235647,1.28940710813743,1.25133
"GOODHUE","floor",-3.41419017348575,1.33019937473685,1.21727
"GOODHUE","intercept",8.40362937202107,1.0533548724633,1.21727
"HENNEPIN","floor",-2.0631113966277,0.920769578759782,0.907991
"HENNEPIN","intercept",4.85347975585459,0.413628774214423,0.907991
"HOUSTON","floor",-2.41008264664131,1.55182623712951,1.65455
"HOUSTON","intercept",6.00442312046588,1.54008725432517,1.65455
"HUBBARD","floor",-1.59160090689036,1.69407128217273,0.66992
"HUBBARD","intercept",4.58006831369261,1.80670951901224,0.66992
"ISANTI","floor",-1.30098062994282,1.6329514290957,0.471483
"ISANTI","intercept",4.35428535628935,1.69038666286325,0.471483
"ITASCA","floor",-0.801442867186719,1.39340121742386,0.515124
"ITASCA","intercept",3.6002007874611,1.09789384950507,0.515124
"JACKSON","floor",-3.59940057777097,1.53183942646667,1.36209
"JACKSON","intercept",7.82389895623344,1.45883497047854,1.36209
"KANABEC","floor",-1.58639256412661,1.57579481852634,0.948014
"KANABEC","intercept",4.78513313472346,1.56188200058787,0.948014
"KANDIYOHI","floor",-3.35948976711429,1.57579481852634,1.11598
"KANDIYOHI","intercept",7.46173806730859,1.56188200058787,1.11598
"KITTSON","floor",-2.51739356127813,1.81691316836846,0.992227
"KITTSON","intercept",5.99237222568127,2.03388702006868,0.992227
"KOOCHICHING","floor",-0.899383761152181,1.60162920630206,0.414025
"KOOCHICHING","intercept",3.38475546691688,1.64314747695548,0.414025
"LACQUIPARLE","floor",-5.37867000398531,1.53454422034139,1.36483
"LACQUIPARLE","intercept",12.5971594516932,1.52439017342443,1.36483
"LAKE","floor",-0.498858437835098,1.42320049266523,0.500776
"LAKE","intercept",2.99100957304424,1.23461609986352,0.500776
"LAKEOFTHEWOODS","floor",-2.53223852805415,1.69858494949966,0.505752
"LAKEOFTHEWOODS","intercept",6.1965133188518,1.82060480859399,0.505752
"LESUEUR","floor",-2.34281976136614,1.56275314360423,1.21464
"LESUEUR","intercept",5.99681715281868,1.55001969470264,1.21464
"LINCOLN","floor",-4.43521881222921,1.62296957307985,1.56034
"LINCOLN","intercept",8.95521126218125,1.67537813306337,1.56034
"LYON","floor",-2.59270403709908,1.44853016529507,1.48399
"LYON","intercept",6.66567088921595,1.29521921115876,1.48399
"MAHNOMEN","floor",-1.9585117206556,1.82211943736907,1.16137
"MAHNOMEN","intercept",5.34687107452542,2.08489710963982,1.16137
"MARSHALL","floor",-9.00043970889875,1.527592442912,1.01386
"MARSHALL","intercept",13.7087812467332,1.51808020891246,1.01386
"MARTIN","floor",-2.02742464542053,1.47893502395677,1.18041
"MARTIN","intercept",5.11949488688909,1.36572311366341,1.18041
"MCLEOD","floor",-1.29574446776447,1.34951306205241,1.15076
"MCLEOD","intercept",5.6911766217037,1.17031619509008,1.15076
"MEEKER","floor",-1.40168901167922,1.53183942646667,1.02424
"MEEKER","intercept",4.50631117351702,1.45883497047854,1.02424
"MILLELACS","floor",-2.34149846550488,1.81925093532006,0.810536
"MILLELACS","intercept",5.57546741921308,2.05693045165983,0.810536
"MORRISON","floor",-0.947083926016928,1.42320049266523,0.910987
"MORRISON","intercept",3.83445532465201,1.23461609986352,0.910987
"MOWER","floor",-3.85554343678705,1.34515501778778,1.29814
"MOWER","intercept",7.5680887963302,1.09024325466332,1.29814
"MURRAY","floor",-3.37420158195638,1.82211943736907,1.49011
"MURRAY","intercept",7.48394650354506,2.08489710963982,1.49011
"NICOLLET","floor",-3.78580822029165,1.57579481852634,1.28152
"NICOLLET","intercept",8.105293351646,1.56188200058787,1.28152
"NOBLES","floor",-2.71960410721583,1.6329514290957,1.49998
"NOBLES","intercept",6.49578926839968,1.69038666286325,1.49998
"NORMAN","floor",-2.08373827525713,1.70396470447557,1.30372
"NORMAN","intercept",5.32594688752955,1.83707673778803,1.30372
"OLMSTED","floor",-2.06083561771735,1.22959118190643,1.27526
"OLMSTED","intercept",4.86172719748352,0.849543161430812,1.27526
"OTTERTAIL","floor",-1.76984074656724,1.49161402731856,0.814867
"OTTERTAIL","intercept",5.6094297517029,1.43410849942967,0.814867
"PENNINGTON","floor",-2.35342179868616,1.81691316836846,0.928646
"PENNINGTON","intercept",5.6193159286587,2.03388702006868,0.928646
"PINE","floor",-0.874559055394011,1.51613738787953,0.849343
"PINE","intercept",3.52511593557346,1.44915501791856,0.849343
"PIPESTONE","floor",-2.91784613689082,1.62296957307985,1.61382
"PIPESTONE","intercept",6.84297672416663,1.67537813306337,1.61382
"POLK","floor",-3.0748195720783,1.69858494949966,1.30488
"POLK","intercept",6.62327454175351,1.82060480859399,1.30488
"POPE","floor",-1.67818730515791,1.71048638988083,1.32465
"POPE","intercept",4.9237032346682,1.85691793471893,1.32465
"RAMSEY","floor",-0.515301978732548,1.18484034098101,0.658327
"RAMSEY","intercept",3.77271311402966,0.720716068906697,0.658327
"REDWOOD","floor",-1.345656977913,1.56275314360423,1.44242
"REDWOOD","intercept",6.41957337623724,1.55001969470264,1.44242
"RENVILLE","floor",-1.71496162539339,1.70396470447557,1.46313
"RENVILLE","intercept",5.2666681637425,1.83707673778803,1.46313
"RICE","floor",-3.18370986955339,1.3833807262777,1.21306
"RICE","intercept",7.01357409624845,1.13521938905527,1.21306
"ROCK","floor",-2.06165472192011,1.71048638988083,1.69558
"ROCK","intercept",5.50257210743046,1.85691793471893,1.69558
"ROSEAU","floor",-2.3923737291212,1.40589622700956,0.808928
"ROSEAU","intercept",5.78846312306433,1.33343204868518,0.808928
"SCOTT","floor",-2.18482365731981,1.34951306205241,1.06515
"SCOTT","intercept",7.25220830199546,1.17031619509008,1.06515
"SHERBURNE","floor",-0.97875016617549,1.44499012994636,0.504879
"SHERBURNE","intercept",3.86785762559554,1.24058550166792,0.504879
"SIBLEY","floor",-1.50888011809436,1.57579481852634,1.26771
"SIBLEY","intercept",4.66812308302575,1.56188200058787,1.26771
"STEARNS","floor",-2.46194852316198,1.2004075948925,1.12344
"STEARNS","intercept",5.49104878241708,0.83057004203865,1.12344
"STEELE","floor",-2.16896144780024,1.40810945934085,1.30971
"STEELE","intercept",5.66455855200121,1.13985478899041,1.30971
"STEVENS","floor",-2.40403634402922,1.71048638988083,1.60124
"STEVENS","intercept",6.0194193152539,1.85691793471893,1.60124
"STLOUIS","floor",-1.12997913198536,0.847313602823423,0.622088
"STLOUIS","intercept",3.3254688795788,0.401216173050137,0.622088
"SWIFT","floor",-1.16007411094924,1.57579481852634,1.37167
"SWIFT","intercept",4.14157785038605,1.56188200058787,1.37167
"TODD","floor",-1.81951974372048,1.70396470447557,0.95424
"TODD","intercept",5.44113766495768,1.83707673778803,0.95424
"TRAVERSE","floor",-3.76490834223423,1.62296957307985,1.64476
"TRAVERSE","intercept",7.91403826470646,1.67537813306337,1.64476
"WABASHA","floor",-3.38148292269046,1.47893502395677,1.16193
"WABASHA","intercept",7.15333329999896,1.36572311366341,1.16193
"WADENA","floor",-1.81022851613151,1.61466274897028,0.510671
"WADENA","intercept",4.84551348028731,1.66285587875458,0.510671
"WASECA","floor",-1.69282702988545,1.62296957307985,1.23666
"WASECA","intercept",4.67906984116101,1.67537813306337,1.23666
"WASHINGTON","floor",-2.36004114063784,1.10081103916819,0.862876
"WASHINGTON","intercept",5.12901071326907,0.614027111629021,0.862876
"WATONWAN","floor",-3.50900420066575,1.81691316836846,1.2011
"WATONWAN","intercept",8.45546460812916,2.03388702006868,1.2011
"WILKIN","floor",-2.89079528785367,1.82211943736907,1.26622
"WILKIN","intercept",6.75421343022128,2.08489710963982,1.26622
"WINONA","floor",-3.70507792926302,1.34385381312563,1.58917
"WINONA","intercept",7.07457989572222,1.12794251995409,1.58917
"WRIGHT","floor",-2.5065812027689,1.35347787115036,0.913909
"WRIGHT","intercept",6.01918236632926,1.05651649774213,0.913909
"YELLOWMEDICINE","floor",-1.59601571585172,1.71048638988083,1.42659
"YELLOWMEDICINE","intercept",4.79965990479058,1.85691793471893,1.42659
